Slug,Fixture Slug,Formula Slug,Title
ipswich-04-11-2017-spedeworth-bangers,ipswich-04-11-2017,spedeworth-bangers,Ipswich Gala Bangers
ipswich-04-11-2017-spedeworth-superstox,ipswich-04-11-2017,stoxkarts,
