Track Name,Slug,Promo Slug,Address Ln 1,Address Ln 2,City,Postcode,Telephone Office,Telephone Tickets,Telephone Bookings,Surface,Length,Length Unit
Ipswich Foxhall Stadium,ipswich,spedeworth,Foxhall Heath,Foxhall Road,Suffolk,IP4 5TL,01252 322920,01252 322920,01252 322920,Tarmac,382,m
Yarmouth Stadium,yarmouth,spedeworth,Yarmouth Road,Caister-On-Sea,Norfolk,NR30 5TE,01252 322920,01252 322920,01252 322920,Tarmac,300,m
Aldershot Raceway,aldershot,spedeworth,Claycart Road,,Aldershot,GU11 1SQ,01252 322920,01252 322920,01252 322920,Tarmac,350,m
Arlington Raceway,arlington,spedeworth,Arlington Road West,,Hailsham,BN27 3RE,01252 322920,01252 322920,01252 322920,Tarmac,320,m
Hednesford Hills Raceway,hednesford,incarace,Reservoir Road,Hednesford,Cannock,WS12 1BF,01252 322920,01252 322920,01252 322920,Tarmac,402,m
Birmingham Wheels Raceway,birmingham,incarace,Birmingham Wheels Adventure Park,Landor Street,Birmingham,B8 1AD,01252 322920,01252 322920,01252 322920,Tarmac,320,m
Northampton International Raceway,northampton,incarace,Brafield Road,Horton,Northampton,NN7 2BA,01252 322920,01252 322920,01252 322920,Tarmac,396,m
Arena Essex,arena-essex,pri,A1306 Arterial Road,Purfleet,Essex,RM19 1AE,01708 867728,01708 867728,01708 867728,Tarmac,252,m
